Chroma Features Analysis
=======================

Time-based chroma intensities:
T	C	C#	D	D#	E	F	F#	G	G#	A	A#	B
10.09	1.000	0.219	0.107	0.121	0.070	0.100	0.104	0.052	0.104	0.238	0.305	0.476	C
11.01	0.884	1.000	0.742	0.834	0.777	0.612	0.736	0.838	0.419	0.319	0.205	0.394	C#
11.02	0.885	1.000	0.730	0.824	0.766	0.606	0.712	0.830	0.412	0.307	0.203	0.387	C#
11.03	0.889	1.000	0.719	0.816	0.758	0.600	0.690	0.823	0.406	0.296	0.202	0.381	C#
11.04	0.897	1.000	0.709	0.811	0.751	0.596	0.672	0.817	0.401	0.286	0.203	0.382	C#
11.05	0.907	1.000	0.700	0.811	0.749	0.594	0.658	0.813	0.397	0.277	0.205	0.388	C#
11.06	0.918	1.000	0.693	0.812	0.751	0.596	0.646	0.810	0.394	0.269	0.207	0.401	C#
11.07	0.930	1.000	0.685	0.814	0.756	0.602	0.638	0.808	0.392	0.263	0.210	0.417	C#
11.08	0.940	1.000	0.678	0.816	0.763	0.608	0.633	0.808	0.391	0.257	0.214	0.436	C#
11.09	0.951	1.000	0.671	0.818	0.771	0.616	0.632	0.809	0.390	0.253	0.219	0.456	C#
12.00	0.325	0.323	0.260	0.369	1.000	0.280	0.242	0.276	0.201	0.106	0.168	0.180	E
12.01	0.363	0.357	0.287	0.390	1.000	0.294	0.243	0.301	0.226	0.118	0.182	0.194	E
12.02	0.406	0.396	0.319	0.419	1.000	0.313	0.247	0.331	0.254	0.132	0.199	0.211	E
12.03	0.455	0.439	0.355	0.454	1.000	0.341	0.256	0.368	0.286	0.149	0.218	0.232	E
12.04	0.509	0.487	0.397	0.494	1.000	0.376	0.269	0.411	0.320	0.167	0.238	0.256	E
12.05	0.570	0.542	0.444	0.541	1.000	0.415	0.287	0.463	0.359	0.188	0.261	0.284	E
12.06	0.642	0.604	0.497	0.594	1.000	0.459	0.309	0.524	0.403	0.210	0.287	0.315	E
12.07	0.724	0.677	0.560	0.658	1.000	0.509	0.338	0.598	0.453	0.236	0.318	0.350	E
12.09	0.821	0.761	0.634	0.729	1.000	0.564	0.372	0.686	0.510	0.266	0.355	0.389	E
12.10	0.932	0.858	0.716	0.809	1.000	0.626	0.413	0.790	0.573	0.300	0.397	0.435	E
13.00	0.865	0.612	1.000	0.526	0.471	0.547	0.473	0.448	0.369	0.223	0.254	0.516	D
13.01	0.965	0.639	1.000	0.539	0.501	0.579	0.494	0.472	0.393	0.234	0.260	0.541	D
13.02	1.000	0.626	0.940	0.524	0.495	0.571	0.480	0.464	0.389	0.228	0.247	0.529	C
13.03	1.000	0.594	0.867	0.500	0.473	0.546	0.454	0.442	0.374	0.214	0.228	0.502	C
13.05	1.000	0.566	0.812	0.481	0.454	0.523	0.432	0.423	0.359	0.201	0.213	0.479	C
13.06	1.000	0.542	0.767	0.466	0.445	0.504	0.414	0.407	0.345	0.190	0.200	0.459	C
13.07	1.000	0.520	0.728	0.454	0.440	0.487	0.398	0.393	0.333	0.183	0.189	0.445	C
13.08	1.000	0.500	0.692	0.441	0.435	0.472	0.387	0.381	0.326	0.176	0.181	0.433	C
13.09	1.000	0.480	0.656	0.426	0.430	0.457	0.378	0.369	0.319	0.170	0.175	0.424	C
13.10	1.000	0.461	0.620	0.410	0.423	0.440	0.371	0.359	0.312	0.165	0.170	0.417	C
14.01	1.000	0.219	0.169	0.261	0.271	0.317	0.279	0.294	0.219	0.144	0.215	0.331	C
14.02	1.000	0.239	0.187	0.280	0.287	0.336	0.291	0.308	0.233	0.155	0.231	0.363	C
14.03	1.000	0.259	0.205	0.300	0.304	0.356	0.302	0.323	0.247	0.166	0.247	0.396	C
14.04	1.000	0.277	0.222	0.322	0.321	0.376	0.313	0.341	0.261	0.176	0.263	0.431	C
14.05	1.000	0.295	0.239	0.345	0.341	0.396	0.324	0.360	0.274	0.185	0.278	0.469	C
14.06	1.000	0.311	0.255	0.369	0.361	0.419	0.336	0.379	0.286	0.194	0.294	0.508	C
14.07	1.000	0.327	0.270	0.393	0.386	0.443	0.347	0.399	0.298	0.202	0.309	0.550	C
14.08	1.000	0.343	0.284	0.414	0.413	0.469	0.360	0.420	0.311	0.210	0.324	0.597	C
14.09	1.000	0.358	0.296	0.433	0.441	0.496	0.375	0.443	0.324	0.216	0.339	0.650	C
15.01	0.695	0.574	0.768	0.909	0.812	1.000	0.855	0.682	0.458	0.421	0.715	0.965	F
15.02	0.709	0.573	0.782	0.910	0.833	1.000	0.846	0.695	0.462	0.428	0.715	0.984	F
15.03	0.724	0.571	0.794	0.910	0.859	0.999	0.839	0.706	0.463	0.432	0.711	1.000	B
15.04	0.729	0.559	0.793	0.897	0.878	0.988	0.822	0.707	0.458	0.430	0.694	1.000	B
15.05	0.734	0.547	0.792	0.885	0.901	0.981	0.809	0.709	0.455	0.426	0.675	1.000	B
15.06	0.736	0.536	0.788	0.874	0.929	0.975	0.796	0.710	0.451	0.420	0.655	1.000	B
15.07	0.732	0.522	0.780	0.861	0.963	0.965	0.783	0.709	0.447	0.413	0.632	1.000	B
15.08	0.718	0.503	0.761	0.843	0.995	0.946	0.766	0.702	0.437	0.401	0.602	1.000	B
15.09	0.680	0.469	0.717	0.800	1.000	0.895	0.726	0.671	0.413	0.379	0.556	0.978	E
16.00	0.804	0.569	0.407	0.451	1.000	0.498	0.461	0.632	0.383	0.324	0.360	0.531	E
16.01	0.882	0.615	0.440	0.486	1.000	0.516	0.502	0.714	0.407	0.349	0.393	0.565	E
16.02	0.967	0.665	0.475	0.524	1.000	0.531	0.548	0.804	0.432	0.377	0.429	0.603	E
16.03	1.000	0.677	0.485	0.533	0.945	0.515	0.564	0.854	0.432	0.384	0.440	0.607	C
16.04	1.000	0.668	0.480	0.522	0.869	0.484	0.562	0.876	0.416	0.377	0.436	0.594	C
16.05	1.000	0.660	0.478	0.511	0.806	0.454	0.560	0.899	0.402	0.369	0.431	0.584	C
16.06	1.000	0.653	0.478	0.502	0.754	0.431	0.560	0.920	0.390	0.361	0.426	0.578	C
16.07	1.000	0.646	0.478	0.492	0.712	0.422	0.560	0.940	0.378	0.352	0.419	0.577	C
16.09	1.000	0.639	0.475	0.482	0.676	0.417	0.562	0.959	0.366	0.343	0.412	0.577	C
16.10	1.000	0.633	0.470	0.474	0.646	0.416	0.566	0.977	0.357	0.335	0.406	0.580	C
17.00	1.000	0.617	0.580	0.672	0.606	0.359	0.450	0.422	0.264	0.287	0.304	0.664	C
17.01	1.000	0.608	0.523	0.639	0.583	0.335	0.422	0.403	0.255	0.272	0.282	0.646	C
17.02	1.000	0.595	0.468	0.604	0.557	0.311	0.394	0.383	0.245	0.257	0.261	0.625	C
17.03	1.000	0.576	0.415	0.568	0.529	0.287	0.369	0.364	0.234	0.243	0.241	0.604	C
17.05	1.000	0.552	0.366	0.531	0.500	0.264	0.345	0.347	0.224	0.229	0.222	0.586	C
17.06	1.000	0.524	0.320	0.495	0.472	0.243	0.323	0.331	0.213	0.215	0.205	0.572	C
17.07	1.000	0.493	0.277	0.459	0.444	0.225	0.303	0.316	0.204	0.202	0.190	0.558	C
17.08	1.000	0.462	0.239	0.425	0.418	0.210	0.286	0.301	0.195	0.190	0.177	0.546	C
17.09	1.000	0.431	0.205	0.395	0.394	0.198	0.273	0.287	0.186	0.178	0.167	0.534	C
17.10	1.000	0.402	0.175	0.367	0.371	0.187	0.264	0.274	0.178	0.168	0.158	0.524	C
18.01	1.000	0.587	0.572	0.707	0.574	0.412	0.465	0.486	0.292	0.276	0.346	0.616	C
18.02	1.000	0.591	0.577	0.731	0.583	0.420	0.479	0.499	0.303	0.284	0.354	0.641	C
18.03	1.000	0.594	0.580	0.751	0.591	0.430	0.492	0.510	0.313	0.290	0.360	0.667	C
18.04	1.000	0.595	0.584	0.769	0.598	0.442	0.506	0.521	0.323	0.297	0.365	0.693	C
18.05	1.000	0.596	0.587	0.783	0.605	0.455	0.521	0.530	0.332	0.302	0.370	0.720	C
18.06	1.000	0.599	0.589	0.796	0.611	0.467	0.540	0.540	0.341	0.308	0.373	0.746	C
18.07	1.000	0.606	0.591	0.810	0.617	0.477	0.565	0.552	0.351	0.314	0.378	0.774	C
18.08	1.000	0.613	0.591	0.825	0.625	0.486	0.593	0.565	0.362	0.319	0.382	0.800	C
18.09	1.000	0.618	0.591	0.838	0.632	0.495	0.626	0.578	0.372	0.324	0.386	0.821	C
19.01	0.855	0.360	0.367	0.612	1.000	0.511	0.656	0.487	0.247	0.285	0.300	0.887	E
19.02	0.815	0.324	0.346	0.578	1.000	0.505	0.649	0.487	0.227	0.280	0.288	0.877	E
