Chroma Features Analysis
=======================

Time-based chroma intensities:
T	C	C#	D	D#	E	F	F#	G	G#	A	A#	B
179.07	0.417	0.247	0.142	0.307	0.200	0.223	0.404	0.253	0.188	0.108	0.186	1.000	B
179.08	0.384	0.233	0.140	0.293	0.197	0.222	0.387	0.236	0.176	0.101	0.180	1.000	B
179.09	0.330	0.217	0.138	0.276	0.197	0.211	0.375	0.221	0.165	0.093	0.174	1.000	B
180.00	0.271	0.161	0.153	0.249	1.000	0.231	0.204	0.220	0.109	0.119	0.134	0.323	E
180.01	0.260	0.151	0.144	0.257	1.000	0.229	0.198	0.205	0.106	0.115	0.139	0.313	E
180.02	0.251	0.141	0.136	0.263	1.000	0.227	0.193	0.193	0.100	0.109	0.144	0.308	E
180.03	0.241	0.129	0.129	0.268	1.000	0.223	0.188	0.180	0.096	0.102	0.151	0.299	E
180.04	0.232	0.120	0.124	0.269	1.000	0.220	0.182	0.170	0.094	0.096	0.152	0.287	E
180.05	0.224	0.116	0.119	0.270	1.000	0.218	0.177	0.161	0.093	0.091	0.150	0.277	E
180.06	0.219	0.117	0.116	0.274	1.000	0.219	0.174	0.155	0.095	0.089	0.151	0.271	E
180.07	0.216	0.120	0.118	0.284	1.000	0.220	0.171	0.150	0.095	0.088	0.155	0.264	E
180.09	0.216	0.128	0.128	0.297	1.000	0.223	0.169	0.148	0.095	0.084	0.156	0.256	E
180.10	0.220	0.139	0.142	0.307	1.000	0.229	0.169	0.149	0.094	0.083	0.157	0.250	E
181.00	0.564	0.563	0.300	0.515	0.630	0.463	0.723	1.000	0.527	0.412	0.610	0.632	G
181.01	0.570	0.573	0.327	0.519	0.650	0.504	0.760	1.000	0.540	0.421	0.632	0.650	G
181.02	0.582	0.589	0.370	0.525	0.681	0.555	0.808	1.000	0.555	0.430	0.655	0.669	G
181.03	0.605	0.618	0.431	0.536	0.727	0.617	0.864	1.000	0.570	0.445	0.673	0.692	G
181.05	0.640	0.674	0.505	0.566	0.800	0.704	0.926	1.000	0.584	0.462	0.688	0.720	G
181.06	0.692	0.753	0.584	0.625	0.899	0.815	0.984	1.000	0.591	0.476	0.699	0.750	G
181.07	0.736	0.815	0.642	0.685	0.989	0.907	1.000	0.959	0.578	0.472	0.679	0.750	F#
181.08	0.706	0.777	0.615	0.673	1.000	0.896	0.894	0.822	0.517	0.414	0.587	0.663	E
181.09	0.654	0.708	0.560	0.628	1.000	0.840	0.763	0.680	0.459	0.348	0.492	0.568	E
181.10	0.609	0.644	0.506	0.564	1.000	0.775	0.654	0.567	0.404	0.302	0.419	0.504	E
182.01	1.000	0.205	0.157	0.216	0.152	0.147	0.285	0.186	0.116	0.056	0.118	0.175	C
182.02	1.000	0.192	0.164	0.221	0.150	0.143	0.272	0.173	0.115	0.057	0.114	0.169	C
182.03	1.000	0.184	0.175	0.226	0.150	0.140	0.261	0.165	0.116	0.059	0.111	0.162	C
182.04	1.000	0.181	0.187	0.232	0.154	0.139	0.255	0.160	0.119	0.062	0.108	0.157	C
182.05	1.000	0.187	0.198	0.237	0.161	0.139	0.253	0.162	0.124	0.066	0.106	0.152	C
182.06	1.000	0.199	0.209	0.243	0.169	0.139	0.253	0.168	0.131	0.070	0.107	0.149	C
182.07	1.000	0.214	0.218	0.250	0.179	0.140	0.253	0.177	0.137	0.075	0.110	0.146	C
182.08	1.000	0.231	0.228	0.258	0.189	0.142	0.254	0.188	0.143	0.081	0.114	0.144	C
182.09	1.000	0.251	0.242	0.269	0.199	0.145	0.256	0.200	0.149	0.087	0.117	0.144	C
183.01	0.217	0.164	0.113	0.217	0.139	0.135	0.202	0.114	0.086	0.120	0.137	1.000	B
183.02	0.212	0.169	0.117	0.222	0.147	0.136	0.194	0.112	0.088	0.118	0.133	1.000	B
183.03	0.198	0.178	0.124	0.231	0.158	0.139	0.190	0.115	0.096	0.118	0.142	1.000	B
183.04	0.194	0.191	0.135	0.244	0.173	0.149	0.191	0.116	0.105	0.119	0.144	1.000	B
183.05	0.209	0.207	0.145	0.261	0.183	0.161	0.199	0.127	0.117	0.122	0.136	1.000	B
183.06	0.240	0.225	0.159	0.276	0.195	0.170	0.200	0.138	0.126	0.127	0.142	1.000	B
183.07	0.275	0.247	0.175	0.293	0.212	0.176	0.207	0.152	0.139	0.130	0.147	1.000	B
183.08	0.308	0.271	0.194	0.313	0.228	0.179	0.215	0.167	0.146	0.134	0.157	1.000	B
183.09	0.348	0.298	0.210	0.336	0.244	0.184	0.224	0.185	0.158	0.139	0.171	1.000	B
184.00	0.220	0.247	0.223	0.248	1.000	0.200	0.237	0.134	0.130	0.066	0.109	0.222	E
184.01	0.244	0.266	0.237	0.259	1.000	0.209	0.249	0.142	0.135	0.071	0.110	0.220	E
184.02	0.270	0.287	0.253	0.273	1.000	0.216	0.261	0.151	0.142	0.076	0.116	0.221	E
184.03	0.298	0.312	0.275	0.291	1.000	0.223	0.274	0.164	0.150	0.082	0.114	0.228	E
184.04	0.330	0.342	0.303	0.315	1.000	0.233	0.289	0.180	0.159	0.089	0.117	0.241	E
184.05	0.367	0.376	0.334	0.344	1.000	0.247	0.306	0.198	0.167	0.099	0.124	0.256	E
184.06	0.402	0.414	0.369	0.377	1.000	0.264	0.324	0.224	0.177	0.102	0.135	0.270	E
184.07	0.443	0.455	0.407	0.413	1.000	0.284	0.341	0.248	0.192	0.109	0.146	0.284	E
184.09	0.489	0.497	0.448	0.453	1.000	0.304	0.361	0.279	0.202	0.116	0.155	0.300	E
184.10	0.532	0.540	0.488	0.494	1.000	0.328	0.382	0.313	0.219	0.128	0.169	0.316	E
185.00	0.597	0.462	0.454	0.492	1.000	0.387	0.486	0.443	0.351	0.255	0.340	0.378	E
185.01	0.607	0.470	0.447	0.489	1.000	0.394	0.487	0.457	0.356	0.261	0.317	0.382	E
185.02	0.622	0.483	0.444	0.489	1.000	0.402	0.490	0.474	0.364	0.269	0.298	0.388	E
185.03	0.642	0.497	0.444	0.493	1.000	0.411	0.495	0.492	0.373	0.278	0.286	0.395	E
185.05	0.669	0.514	0.448	0.501	1.000	0.423	0.502	0.514	0.386	0.289	0.283	0.404	E
185.06	0.702	0.535	0.455	0.512	1.000	0.436	0.512	0.543	0.398	0.301	0.283	0.414	E
185.07	0.741	0.557	0.463	0.524	1.000	0.452	0.524	0.575	0.410	0.316	0.284	0.424	E
185.08	0.785	0.578	0.475	0.537	1.000	0.468	0.538	0.609	0.420	0.332	0.285	0.433	E
185.09	0.834	0.600	0.488	0.549	1.000	0.485	0.552	0.645	0.430	0.349	0.287	0.441	E
185.10	0.884	0.622	0.502	0.563	1.000	0.500	0.567	0.681	0.438	0.367	0.290	0.450	E
186.01	1.000	0.325	0.238	0.265	0.208	0.168	0.217	0.216	0.155	0.166	0.177	0.195	C
186.02	1.000	0.345	0.255	0.280	0.220	0.176	0.224	0.236	0.166	0.178	0.187	0.201	C
186.03	1.000	0.366	0.273	0.295	0.232	0.185	0.230	0.258	0.177	0.191	0.198	0.208	C
186.04	1.000	0.388	0.291	0.311	0.245	0.194	0.236	0.280	0.187	0.204	0.208	0.216	C
186.05	1.000	0.409	0.309	0.326	0.257	0.202	0.242	0.302	0.197	0.216	0.219	0.225	C
186.06	1.000	0.430	0.326	0.341	0.269	0.210	0.247	0.325	0.207	0.229	0.229	0.234	C
186.07	1.000	0.451	0.342	0.358	0.280	0.219	0.253	0.348	0.216	0.240	0.240	0.243	C
186.08	1.000	0.472	0.358	0.375	0.291	0.226	0.259	0.370	0.224	0.251	0.249	0.252	C
186.09	1.000	0.490	0.372	0.390	0.301	0.233	0.264	0.392	0.230	0.260	0.258	0.262	C
187.01	0.687	0.506	0.298	0.501	0.378	0.323	0.529	0.556	0.332	0.278	0.260	1.000	B
187.02	0.768	0.560	0.326	0.544	0.415	0.337	0.546	0.611	0.363	0.301	0.278	1.000	B
187.03	0.863	0.616	0.356	0.596	0.458	0.355	0.563	0.675	0.400	0.325	0.297	1.000	B
187.04	0.955	0.671	0.384	0.651	0.503	0.379	0.580	0.742	0.438	0.344	0.330	1.000	B
187.05	1.000	0.693	0.390	0.667	0.519	0.382	0.564	0.774	0.455	0.349	0.331	0.941	C
187.06	1.000	0.681	0.375	0.651	0.517	0.371	0.531	0.767	0.437	0.336	0.324	0.849	C
187.07	1.000	0.672	0.360	0.633	0.522	0.364	0.506	0.766	0.436	0.331	0.323	0.776	C
187.08	1.000	0.669	0.345	0.620	0.539	0.360	0.485	0.772	0.427	0.324	0.321	0.710	C
187.09	1.000	0.663	0.328	0.604	0.552	0.360	0.472	0.781	0.419	0.320	0.320	0.650	C
188.00	0.409	0.389	0.363	0.364	1.000	0.284	0.235	0.328	0.174	0.160	0.155	0.161	E
188.01	0.432	0.408	0.384	0.381	1.000	0.285	0.247	0.346	0.183	0.164	0.157	0.170	E
188.02	0.454	0.429	0.406	0.402	1.000	0.269	0.258	0.366	0.187	0.172	0.162	0.183	E
188.03	0.476	0.449	0.424	0.423	1.000	0.250	0.265	0.384	0.193	0.180	0.165	0.192	E
188.04	0.498	0.468	0.441	0.445	1.000	0.241	0.267	0.404	0.201	0.187	0.170	0.193	E
188.05	0.522	0.490	0.460	0.470	1.000	0.238	0.279	0.429	0.202	0.197	0.177	0.192	E
188.06	0.545	0.507	0.476	0.487	1.000	0.236	0.289	0.453	0.207	0.204	0.183	0.202	E
188.07	0.562	0.517	0.483	0.496	1.000	0.235	0.303	0.470	0.211	0.210	0.187	0.217	E
188.09	0.575	0.522	0.485	0.499	1.000	0.235	0.317	0.486	0.212	0.215	0.191	0.231	E
188.10	0.580	0.521	0.479	0.495	1.000	0.232	0.327	0.498	0.212	0.216	0.189	0.235	E
189.00	0.707	0.462	0.493	0.692	1.000	0.673	0.483	0.611	0.498	0.414	0.428	0.753	E
189.01	0.736	0.480	0.528	0.722	1.000	0.681	0.499	0.645	0.506	0.433	0.432	0.770	E
189.02	0.765	0.493	0.554	0.751	1.000	0.686	0.506	0.677	0.515	0.452	0.438	0.775	E
189.03	0.794	0.506	0.576	0.776	1.000	0.687	0.517	0.709	0.527	0.466	0.444	0.784	E
189.05	0.811	0.512	0.590	0.794	1.000	0.683	0.529	0.732	0.527	0.471	0.446	0.787	E
189.06	0.820	0.517	0.598	0.806	1.000	0.680	0.541	0.751	0.525	0.472	0.446	0.786	E
189.07	0.831	0.519	0.602	0.812	1.000	0.679	0.549	0.770	0.519	0.473	0.446	0.791	E
189.08	0.841	0.513	0.600	0.814	1.000	0.673	0.556	0.783	0.504	0.471	0.444	0.791	E
189.09	0.850	0.506	0.596	0.813	1.000	0.670	0.569	0.796	0.493	0.463	0.441	0.795	E
189.10	0.859	0.497	0.589	0.811	1.000	0.667	0.579	0.810	0.484	0.453	0.440	0.804	E
190.01	1.000	0.503	0.618	0.647	0.522	0.308	0.362	0.664	0.384	0.342	0.430	0.505	C
190.02	1.000	0.527	0.648	0.680	0.552	0.321	0.381	0.701	0.396	0.358	0.452	0.545	C
190.03	1.000	0.548	0.675	0.708	0.581	0.332	0.401	0.736	0.405	0.371	0.470	0.585	C
190.04	1.000	0.568	0.695	0.730	0.608	0.341	0.419	0.767	0.410	0.380	0.483	0.625	C
190.05	1.000	0.584	0.707	0.743	0.628	0.347	0.433	0.792	0.409	0.384	0.490	0.664	C
190.06	1.000	0.593	0.708	0.745	0.640	0.348	0.442	0.805	0.402	0.380	0.489	0.701	C
190.07	1.000	0.593	0.696	0.734	0.640	0.343	0.446	0.806	0.389	0.369	0.477	0.729	C
190.08	1.000	0.585	0.675	0.713	0.631	0.333	0.444	0.795	0.372	0.351	0.458	0.748	C
190.09	1.000	0.572	0.645	0.686	0.614	0.320	0.438	0.777	0.353	0.328	0.433	0.758	C
191.01	0.470	0.362	0.325	0.502	0.429	0.293	0.340	0.475	0.265	0.274	0.436	1.000	B
191.02	0.484	0.359	0.322	0.504	0.442	0.303	0.348	0.504	0.271	0.286	0.439	1.000	B
191.03	0.498	0.351	0.313	0.501	0.452	0.303	0.350	0.510	0.267	0.287	0.438	1.000	B
191.04	0.508	0.338	0.301	0.496	0.460	0.303	0.352	0.516	0.279	0.295	0.435	1.000	B
191.05	0.506	0.324	0.287	0.487	0.472	0.303	0.356	0.525	0.288	0.303	0.433	1.000	B
191.06	0.488	0.309	0.272	0.478	0.486	0.301	0.363	0.531	0.296	0.287	0.427	1.000	B
191.07	0.473	0.294	0.258	0.477	0.505	0.292	0.362	0.530	0.293	0.281	0.426	1.000	B
191.08	0.460	0.280	0.245	0.477	0.530	0.282	0.363	0.530	0.305	0.284	0.425	1.000	B
191.09	0.439	0.266	0.231	0.474	0.550	0.276	0.365	0.522	0.315	0.270	0.417	1.000	B
192.00	0.718	0.408	0.573	0.502	1.000	0.307	0.534	0.791	0.289	0.239	0.313	0.637	E
192.01	0.720	0.403	0.570	0.484	1.000	0.308	0.549	0.800	0.283	0.236	0.315	0.661	E
192.02	0.716	0.399	0.563	0.460	1.000	0.313	0.561	0.801	0.271	0.242	0.317	0.682	E
192.03	0.710	0.392	0.546	0.443	1.000	0.314	0.570	0.794	0.264	0.244	0.325	0.704	E
192.04	0.704	0.386	0.534	0.430	1.000	0.325	0.580	0.782	0.263	0.254	0.369	0.726	E
192.05	0.688	0.367	0.520	0.420	1.000	0.328	0.590	0.754	0.258	0.261	0.408	0.746	E
192.06	0.669	0.351	0.502	0.413	1.000	0.341	0.597	0.732	0.246	0.260	0.419	0.759	E
192.07	0.648	0.341	0.488	0.410	1.000	0.348	0.602	0.714	0.236	0.254	0.421	0.774	E
192.09	0.624	0.339	0.476	0.412	1.000	0.371	0.608	0.705	0.230	0.254	0.410	0.793	E
192.10	0.599	0.345	0.471	0.417	1.000	0.382	0.609	0.691	0.214	0.276	0.380	0.807	E
193.00	1.000	0.839	0.958	0.922	0.769	0.614	0.708	0.868	0.378	0.381	0.467	0.598	C
193.01	1.000	0.827	0.954	0.895	0.714	0.589	0.716	0.872	0.354	0.369	0.482	0.629	C
193.02	1.000	0.816	0.938	0.862	0.658	0.559	0.728	0.884	0.343	0.365	0.491	0.655	C
193.03	1.000	0.795	0.910	0.838	0.614	0.540	0.752	0.921	0.324	0.348	0.505	0.684	C
193.05	1.000	0.782	0.895	0.814	0.583	0.535	0.775	0.960	0.321	0.355	0.513	0.717	C
193.06	0.991	0.772	0.887	0.794	0.567	0.537	0.785	1.000	0.324	0.377	0.519	0.747	G
193.07	0.936	0.734	0.840	0.761	0.536	0.518	0.745	1.000	0.290	0.332	0.501	0.743	G
193.08	0.896	0.700	0.791	0.755	0.516	0.506	0.721	1.000	0.283	0.334	0.491	0.752	G
193.09	0.879	0.694	0.793	0.773	0.510	0.514	0.714	1.000	0.288	0.335	0.498	0.768	G
193.10	0.869	0.694	0.821	0.805	0.515	0.513	0.712	1.000	0.293	0.311	0.513	0.789	G
194.01	1.000	0.585	0.337	0.466	0.463	0.244	0.430	0.739	0.310	0.248	0.302	0.584	C
194.02	1.000	0.559	0.311	0.447	0.453	0.238	0.423	0.717	0.299	0.241	0.292	0.582	C
194.03	1.000	0.537	0.290	0.425	0.443	0.230	0.418	0.693	0.296	0.239	0.283	0.581	C
194.04	1.000	0.511	0.269	0.408	0.428	0.221	0.412	0.662	0.284	0.234	0.273	0.574	C
194.05	1.000	0.485	0.245	0.393	0.413	0.212	0.405	0.627	0.272	0.226	0.263	0.566	C
194.06	1.000	0.448	0.218	0.374	0.396	0.203	0.389	0.592	0.251	0.211	0.248	0.548	C
194.07	1.000	0.413	0.197	0.351	0.376	0.190	0.370	0.557	0.225	0.201	0.232	0.520	C
194.08	1.000	0.381	0.180	0.330	0.356	0.181	0.352	0.534	0.209	0.192	0.216	0.495	C
194.09	1.000	0.352	0.166	0.311	0.339	0.169	0.336	0.511	0.196	0.181	0.207	0.475	C
195.01	0.486	0.427	0.527	0.643	0.415	0.290	0.462	0.559	0.298	0.191	0.372	1.000	B
195.02	0.490	0.434	0.541	0.670	0.426	0.298	0.482	0.569	0.301	0.198	0.386	1.000	B
195.03	0.481	0.438	0.573	0.711	0.431	0.315	0.505	0.575	0.312	0.198	0.403	1.000	B
195.04	0.466	0.443	0.615	0.747	0.431	0.330	0.537	0.592	0.322	0.197	0.436	1.000	B
195.05	0.468	0.450	0.657	0.767	0.434	0.341	0.575	0.603	0.326	0.202	0.455	1.000	B
195.06	0.464	0.451	0.703	0.759	0.432	0.357	0.619	0.610	0.333	0.208	0.466	1.000	B
195.07	0.475	0.455	0.753	0.762	0.441	0.377	0.659	0.626	0.342	0.223	0.494	1.000	B
195.08	0.465	0.460	0.788	0.767	0.457	0.395	0.684	0.638	0.347	0.228	0.527	1.000	B
195.09	0.453	0.463	0.813	0.805	0.490	0.416	0.723	0.648	0.358	0.233	0.557	1.000	B
196.00	0.755	0.596	0.358	0.514	1.000	0.583	0.432	0.637	0.217	0.219	0.354	0.717	E
196.01	0.722	0.582	0.337	0.518	1.000	0.597	0.421	0.597	0.202	0.209	0.348	0.707	E
196.02	0.680	0.557	0.318	0.527	1.000	0.608	0.405	0.553	0.192	0.197	0.338	0.685	E
196.03	0.635	0.525	0.299	0.530	1.000	0.609	0.390	0.508	0.183	0.186	0.327	0.655	E
196.04	0.583	0.485	0.278	0.526	1.000	0.607	0.373	0.455	0.171	0.173	0.313	0.614	E
196.05	0.530	0.444	0.257	0.514	1.000	0.596	0.352	0.402	0.159	0.161	0.297	0.570	E
196.06	0.480	0.406	0.237	0.499	1.000	0.583	0.332	0.353	0.146	0.151	0.277	0.528	E
196.07	0.431	0.367	0.222	0.477	1.000	0.563	0.310	0.309	0.133	0.140	0.257	0.489	E
196.09	0.383	0.330	0.205	0.447	1.000	0.536	0.285	0.269	0.120	0.131	0.238	0.446	E
196.10	0.339	0.298	0.189	0.418	1.000	0.511	0.265	0.235	0.110	0.123	0.218	0.404	E
197.00	0.761	0.628	0.928	1.000	0.421	0.350	0.618	0.679	0.264	0.220	0.447	0.651	D#
197.01	0.718	0.616	0.969	1.000	0.409	0.334	0.602	0.621	0.249	0.212	0.429	0.614	D#
197.02	0.669	0.600	1.000	0.984	0.394	0.316	0.582	0.562	0.235	0.201	0.408	0.572	D
197.03	0.608	0.574	1.000	0.946	0.375	0.292	0.548	0.498	0.217	0.186	0.378	0.520	D
197.05	0.554	0.556	1.000	0.914	0.364	0.273	0.517	0.445	0.205	0.175	0.353	0.474	D
197.06	0.507	0.545	1.000	0.890	0.364	0.259	0.490	0.403	0.196	0.164	0.334	0.437	D
197.07	0.466	0.537	1.000	0.876	0.368	0.253	0.469	0.370	0.191	0.156	0.319	0.407	D
197.08	0.429	0.533	1.000	0.868	0.377	0.250	0.454	0.345	0.190	0.151	0.307	0.381	D
197.09	0.394	0.529	1.000	0.864	0.386	0.249	0.442	0.323	0.191	0.147	0.296	0.358	D
197.10	0.364	0.524	1.000	0.865	0.398	0.249	0.434	0.305	0.196	0.146	0.286	0.339	D
198.01	1.000	0.217	0.094	0.218	0.180	0.119	0.212	0.240	0.074	0.093	0.182	0.214	C
198.02	1.000	0.218	0.094	0.217	0.178	0.118	0.209	0.234	0.074	0.094	0.184	0.213	C
198.03	1.000	0.218	0.097	0.216	0.174	0.118	0.205	0.226	0.074	0.096	0.184	0.210	C
198.04	1.000	0.219	0.102	0.216	0.171	0.116	0.201	0.218	0.073	0.097	0.185	0.210	C
198.05	1.000	0.222	0.108	0.220	0.168	0.115	0.199	0.210	0.073	0.100	0.186	0.213	C
198.06	1.000	0.226	0.114	0.224	0.166	0.114	0.199	0.203	0.074	0.104	0.188	0.223	C
198.07	1.000	0.232	0.121	0.231	0.167	0.114	0.200	0.197	0.077	0.111	0.191	0.236	C
198.08	1.000	0.238	0.129	0.239	0.170	0.114	0.201	0.190	0.081	0.118	0.195	0.253	C
198.09	1.000	0.246	0.138	0.249	0.176	0.119	0.203	0.186	0.086	0.129	0.201	0.272	C
199.01	0.756	0.632	0.438	0.967	0.497	0.298	0.581	0.743	0.206	0.302	0.724	1.000	B
199.02	0.736	0.635	0.465	1.000	0.531	0.307	0.608	0.729	0.206	0.294	0.724	0.983	D#
199.03	0.706	0.628	0.486	1.000	0.547	0.306	0.641	0.701	0.217	0.280	0.740	0.956	D#
199.04	0.688	0.627	0.507	1.000	0.548	0.323	0.647	0.684	0.231	0.310	0.801	0.913	D#
199.05	0.647	0.621	0.511	1.000	0.521	0.325	0.614	0.650	0.242	0.270	0.853	0.807	D#
199.06	0.619	0.616	0.522	1.000	0.487	0.340	0.614	0.604	0.252	0.281	0.822	0.699	D#
199.07	0.587	0.609	0.529	1.000	0.453	0.312	0.598	0.554	0.257	0.277	0.680	0.596	D#
199.08	0.558	0.600	0.528	1.000	0.412	0.314	0.569	0.516	0.260	0.267	0.528	0.515	D#
199.09	0.541	0.596	0.524	1.000	0.374	0.332	0.548	0.490	0.267	0.246	0.465	0.445	D#
200.00	0.343	0.281	0.246	0.329	1.000	0.552	0.298	0.270	0.119	0.176	0.209	0.294	E
200.01	0.326	0.275	0.235	0.314	1.000	0.508	0.289	0.258	0.124	0.176	0.206	0.292	E
200.02	0.320	0.271	0.227	0.304	1.000	0.472	0.282	0.252	0.129	0.177	0.200	0.295	E
200.03	0.326	0.270	0.223	0.299	1.000	0.442	0.276	0.248	0.137	0.178	0.198	0.300	E
200.04	0.337	0.274	0.225	0.304	1.000	0.424	0.273	0.248	0.150	0.181	0.197	0.306	E
200.05	0.354	0.288	0.233	0.320	1.000	0.415	0.275	0.250	0.162	0.184	0.197	0.314	E
200.06	0.377	0.309	0.246	0.344	1.000	0.425	0.282	0.253	0.175	0.191	0.199	0.321	E
200.07	0.409	0.336	0.268	0.375	1.000	0.446	0.291	0.259	0.189	0.200	0.204	0.328	E
200.09	0.454	0.373	0.294	0.412	1.000	0.479	0.307	0.270	0.209	0.212	0.212	0.338	E
200.10	0.510	0.421	0.328	0.459	1.000	0.524	0.331	0.290	0.233	0.231	0.226	0.350	E
201.00	0.281	0.765	1.000	0.538	0.433	0.256	0.300	0.358	0.308	0.259	0.229	0.403	D
201.01	0.283	0.817	1.000	0.558	0.446	0.271	0.307	0.404	0.333	0.276	0.248	0.395	D
201.02	0.292	0.891	1.000	0.584	0.458	0.295	0.314	0.449	0.343	0.285	0.264	0.391	D
201.03	0.309	0.977	1.000	0.636	0.474	0.324	0.327	0.504	0.378	0.306	0.299	0.392	D
201.05	0.330	1.000	0.989	0.665	0.482	0.339	0.329	0.546	0.399	0.309	0.330	0.385	C#
201.06	0.362	1.000	0.978	0.668	0.496	0.346	0.342	0.579	0.417	0.314	0.334	0.374	C#
201.07	0.384	1.000	0.951	0.654	0.498	0.347	0.347	0.598	0.428	0.314	0.331	0.356	C#
201.08	0.411	1.000	0.924	0.639	0.502	0.353	0.345	0.617	0.427	0.305	0.329	0.345	C#
201.09	0.441	1.000	0.892	0.622	0.501	0.357	0.344	0.625	0.409	0.292	0.326	0.336	C#
201.10	0.484	1.000	0.858	0.611	0.497	0.361	0.346	0.640	0.410	0.281	0.325	0.333	C#
202.01	1.000	0.279	0.318	0.418	0.301	0.240	0.297	0.380	0.270	0.166	0.179	0.480	C
202.02	1.000	0.293	0.341	0.449	0.322	0.252	0.310	0.415	0.290	0.178	0.196	0.510	C
202.03	1.000	0.308	0.363	0.480	0.342	0.263	0.321	0.451	0.307	0.187	0.214	0.540	C
202.04	1.000	0.323	0.385	0.512	0.363	0.277	0.333	0.485	0.325	0.199	0.234	0.571	C
202.05	1.000	0.336	0.406	0.543	0.381	0.288	0.343	0.517	0.341	0.209	0.254	0.603	C
202.06	1.000	0.349	0.424	0.571	0.397	0.300	0.353	0.546	0.356	0.219	0.272	0.636	C
202.07	1.000	0.362	0.438	0.597	0.414	0.311	0.363	0.575	0.368	0.226	0.292	0.674	C
202.08	1.000	0.377	0.450	0.622	0.432	0.321	0.374	0.600	0.381	0.234	0.312	0.725	C
202.09	1.000	0.394	0.460	0.645	0.455	0.333	0.390	0.625	0.394	0.241	0.331	0.785	C
203.01	0.681	0.412	0.542	0.997	1.000	0.517	0.728	0.720	0.505	0.491	0.634	0.753	E
203.02	0.779	0.434	0.567	1.000	0.972	0.584	0.714	0.749	0.501	0.499	0.626	0.753	D#
203.03	0.846	0.454	0.588	1.000	0.958	0.621	0.707	0.783	0.502	0.517	0.613	0.718	D#
203.04	0.870	0.470	0.611	1.000	0.943	0.625	0.698	0.802	0.497	0.528	0.581	0.691	D#
203.05	0.853	0.483	0.627	1.000	0.965	0.611	0.699	0.822	0.498	0.523	0.569	0.684	D#
203.06	0.808	0.489	0.638	1.000	0.994	0.586	0.699	0.833	0.491	0.505	0.556	0.692	D#
203.07	0.740	0.472	0.618	0.957	1.000	0.545	0.673	0.811	0.460	0.480	0.520	0.696	E
203.08	0.678	0.438	0.568	0.873	1.000	0.495	0.619	0.757	0.420	0.439	0.467	0.676	E
203.09	0.632	0.402	0.522	0.806	1.000	0.469	0.578	0.710	0.384	0.407	0.428	0.672	E
204.00	0.520	0.344	0.297	0.440	1.000	0.393	0.361	0.401	0.164	0.157	0.153	0.358	E
204.01	0.575	0.373	0.325	0.478	1.000	0.416	0.393	0.455	0.186	0.171	0.165	0.385	E
204.02	0.632	0.404	0.353	0.516	1.000	0.441	0.427	0.515	0.213	0.186	0.178	0.420	E
204.03	0.692	0.436	0.380	0.553	1.000	0.467	0.465	0.579	0.244	0.201	0.193	0.463	E
204.04	0.756	0.466	0.405	0.587	1.000	0.491	0.505	0.646	0.276	0.216	0.209	0.513	E
204.05	0.809	0.488	0.424	0.607	1.000	0.506	0.540	0.707	0.308	0.227	0.225	0.563	E
204.06	0.854	0.505	0.437	0.620	1.000	0.515	0.574	0.767	0.341	0.237	0.242	0.614	E
204.07	0.894	0.517	0.447	0.632	1.000	0.520	0.608	0.829	0.378	0.247	0.260	0.668	E
204.09	0.933	0.524	0.456	0.644	1.000	0.524	0.647	0.897	0.418	0.256	0.284	0.728	E
204.10	0.971	0.530	0.462	0.658	1.000	0.527	0.688	0.974	0.463	0.266	0.311	0.793	E
205.00	1.000	0.632	0.478	0.450	0.482	0.323	0.427	0.604	0.356	0.365	0.273	0.720	C
205.01	1.000	0.581	0.449	0.426	0.461	0.306	0.404	0.579	0.334	0.344	0.256	0.701	C
205.02	1.000	0.531	0.424	0.405	0.440	0.288	0.384	0.554	0.313	0.324	0.241	0.685	C
205.03	1.000	0.482	0.400	0.386	0.419	0.271	0.366	0.530	0.293	0.305	0.228	0.673	C
205.05	1.000	0.434	0.377	0.370	0.398	0.254	0.349	0.506	0.274	0.287	0.219	0.663	C
205.06	1.000	0.389	0.356	0.355	0.376	0.239	0.333	0.483	0.257	0.270	0.212	0.656	C
205.07	1.000	0.347	0.336	0.340	0.355	0.225	0.321	0.461	0.240	0.255	0.205	0.649	C
205.08	1.000	0.306	0.318	0.325	0.333	0.213	0.310	0.441	0.224	0.241	0.200	0.641	C
205.09	1.000	0.267	0.298	0.309	0.314	0.202	0.297	0.422	0.208	0.226	0.195	0.632	C
205.10	1.000	0.230	0.278	0.293	0.297	0.190	0.285	0.403	0.194	0.212	0.189	0.621	C
206.01	1.000	0.631	0.274	0.386	0.304	0.294	0.457	0.467	0.258	0.237	0.385	0.497	C
206.02	1.000	0.629	0.272	0.391	0.303	0.301	0.468	0.472	0.265	0.233	0.382	0.521	C
206.03	1.000	0.627	0.270	0.396	0.301	0.307	0.480	0.477	0.271	0.229	0.378	0.547	C
206.04	1.000	0.624	0.267	0.399	0.299	0.313	0.495	0.481	0.278	0.225	0.374	0.574	C
206.05	1.000	0.620	0.263	0.402	0.298	0.319	0.511	0.485	0.283	0.219	0.368	0.602	C
206.06	1.000	0.619	0.258	0.404	0.297	0.327	0.529	0.489	0.287	0.212	0.362	0.635	C
